gene,mock,infection,Con_Nakei,Cut_Nakei,Con_#96,Cut_#96,Con_#62,Cut_#62,Con_#127,Cut_#127,Con_#,Cut_#3,Con_M36001,Cut_M36001,ABA_Root,PEG_Root,H2O_Root,NaOH_Root,ABA_Shoot,PEG_Shoot,H2O_Shoot,NaOH_Shoot,CK60,BTX623,SCS,Ch17,KS78,High_Bulk,Low_Bulk,q1,q2,Control_0h,Control_12h,Control_24h,Infected_12h,Infected_24h,intact,lodged,20d_Leaves_AA,Emerging_Inflorescence,Seed_5d_After_Pollination,Early_Inflorescence,Pistil,Embryo_25d_After_Pollination,Endosperm_25d_After_Pollination,Anther,Seed_10d_After_Pollination,20d_Leaves_CA,Seed,Stem,Leaf,Keller-leaf,Keller-seed,Keller-spikelet,Keller-stem,Spikelet,internode_g_upper,internode_growing,internode_mature,leaf_blade,leaf_flag_internode,leaf_lower,leaf_lower_growing,leaf_lower_whorl,leaf_middle_whorl,leaf_sheath_growing,leaf_upper,leaf_upper_growing,leaf_upper_whorl,panicle,panicle_lower,panicle_upper,peduncle,root_bottom,root_middle,root_top,Roots,seed_dry,seed_imbibed,Shoots,stem_1cm_,stem_2mm,stem_mid_internode
Sobic.004G237300,0.473473,0.169206,0,0.0952333,0,0.290321,0,0.152366,0.0308796,0.124399,0.0346981,0.343513,0.0278832,0.29806,2.38054,4.00686,5.14308,4.72188,1.08468,3.56116,2.75607,2.85829,1.36049,1.18536,2.38363,1.23947,1.66416,0.942246,1.47477,0,8.5166,1.67857,1.46825,7.00133,3.24471,2.60386,0.978647,1.07611,0.213263,0.751393,2.15296,7.63033,8.4305,1.78902,0.245907,0,0.612518,0.19752,0,0.55246,0,0,0.211619,0.566845,1.13106,0,6.89851,1.94444,0.458136,0.0320123,0.41489,0.748353,0.187665,0.909416,0.0896473,0.330279,0.232751,0.0184833,0.0637564,0.87186,0.92433,1.30692,4.35046,3.04413,0.383259,2.6481,3.24442,0.0365293,1.0655,2.31227,1.71646,0.873718,0.325755
Sobic.002G050700,0,0,0,0.214568,0.0417274,1.83537,0.0794732,0.416112,0.075899,1.00163,0.0284279,0.442263,0.0228445,0.691902,5.90011,4.30375,4.30403,5.38573,3.32033,7.38871,3.45858,4.15522,3.62234,2.14843,1.69937,2.01653,2.23884,1.90263,2.85646,0,0,2.79873,8.68788,11.0974,9.46069,8.86887,0.474731,0.312169,0.174725,4.04886,17.1834,27.5788,35.6381,28.7223,0.402943,3.72157,2.77095,0.161827,0.349918,1.01376,0,0,1.65547,3.03963,0.2754,1.19439,52.5077,7.8917,5.22032,4.1462,2.34126,5.88992,0.39177,7.96089,3.49945,0.53514,10.9465,0.306088,8.72581,58.3782,11.978,15.4993,93.4589,7.67364,5.43089,8.85052,7.29216,0.24453,1.73859,32.1645,29.4427,42.9484,1.83386
Sobic.001G026500,37.2704,35.9294,50.2091,41.2702,44.5024,48.4732,51.6059,42.1971,56.085,42.1358,60.3588,43.1047,45.4939,40.7399,36.3936,33.7285,36.7329,36.1168,49.3321,41.5535,39.5129,41.5332,15.8792,17.6323,18.6493,18.4627,18.4797,19.3989,20.363,0,0,59.5902,74.1751,50.375,60.0975,49.3143,40.5477,39.8133,38.3277,52.2408,21.3464,69.3638,32.7822,33.4552,40.022,18.3824,37.57,31.2883,4.27606,5.36592,2.35992,1.73708,0.979554,2.5387,4.89657,3.46809,49.5299,55.505,52.353,62.3512,50.8543,59.3343,38.2575,57.0949,60.3459,41.6475,72.679,42.9719,64.8238,56.0932,48.2199,44.3891,49.8144,43.71,49.1345,46.3579,46.0108,28.4017,26.3191,46.8741,44.7084,41.7522,56.7768
Sobic.006G254900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203083,0.0213731,0,0.0313029,0.0263073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217136,0.044319,0.0807477,0.234604,0,0,0,0,0,0,0,0,0.581457,0,0,0,0,0,0,0,0,0,0,0,0.0123441,0,0,0,0,0,0.381468,0,0.00581246,0,0,0.0120669,0,0,0,0.121582,0.00861422,0.0162128,0,0
Sobic.002G247800,0.112944,0.0693217,0.596709,0.136301,0.40092,0,0.32394,0.0363452,0.132588,0,0.148986,0,0.119724,0.0355495,1.11735,1.10233,1.24279,1.32384,0.746723,0.963338,0.972813,1.17064,2.81895,1.69785,3.14546,1.77644,2.23334,2.3073,2.06432,0,0,0.337187,0.875586,1.54996,0.956122,1.08872,0.65041,1.23659,0.20349,0.868607,0.844231,5.15285,2.30897,1.56134,0.117317,0,0.964355,0.141351,0,0.211634,0,0,0,0.490328,0,0,26.6278,19.6818,10.1461,0.0454018,2.07849,0.701131,0.43834,2.74048,0.791363,1.53734,0.130201,0.0334533,0.180045,19.0742,2.27707,2.0158,11.7181,3.50163,2.02847,1.33333,0.803541,0.376853,1.08992,1.78795,4.91365,7.95123,1.81656
Sobic.008G050500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445583,0,0,0,2.86602,9.07766,5.33872,3.30287,7.78395,3.73966,4.89062,0,0,0.12598,0.348937,0,0.612389,0,0.191391,1.63901,0,0,0,0,0.222627,0,0,0,0,0,0,0,0,0,2.96448,3.78926,1.85274,0,0,0,0.0508464,0,0.0117212,0,0,0,0,0.0269231,0,0.0114653,0,0,0.0738664,0.0262576,0,0.220466,0.35913,0.468166,0.0214301,0,0,0.0040999,0.176873,0.0460622,0.0065393
Sobic.008G037900,0.102633,0.0885069,0.298243,0.3174,0.198729,0.443681,0.26284,0.734889,0.371508,0.420675,0.225641,0.303175,0.308251,0.395743,3.76563,11.1019,11.2821,10.7672,0.0492203,0.066073,0.0730469,0.0636773,4.76859,2.46928,3.49574,2.64643,2.76826,2.81098,2.85464,0,0,1.85758,2.5462,1.44941,1.87214,1.90257,2.9011,2.64849,0.115571,0.695377,0.383581,0.707608,0.21151,0.255373,1.51922,2.59178,1.45383,0.208727,0.13887,0,0,0,0.0688041,0.214327,0,0.156232,0.018008,0.00767793,0.0925708,0.267982,1.80919,0.0389453,0.281572,0.0109867,0.0454298,0.145047,0.0662203,0.219292,0.0574847,0.21316,0.472044,0.300721,0.149583,5.08121,11.9193,12.7363,11.9024,1.46488,2.7406,0.0385157,0.14712,0.863962,1.03467
Sobic.002G257900,0.22499,0.758637,0.570967,1.92481,0.600886,3.93463,0.67251,1.24928,1.01249,1.71848,0.847171,4.16968,0.397498,2.22584,0.664009,0.225502,0.277884,0.19493,2.82631,1.53905,0.915396,1.36474,0.0626801,0.263267,0.322061,0.163083,0,0.0857067,0.213014,0,0,0.842914,2.35277,2.44504,2.89884,1.38799,11.7617,12.2077,0.608049,1.40153,2.81701,9.84118,7.75229,4.16658,8.76402,0.368941,1.18218,0.211183,1.71946,0.576763,0,0,0.309126,1.74785,0,0.310868,2.16203,1.23475,0.727276,0.994135,0.763678,0.743629,2.43983,0.975069,0.593028,4.12845,1.36356,0.943187,1.38631,3.19276,1.16539,1.48225,2.17933,0.219245,0.122838,0.0586999,0.0771527,0.322451,0.918608,1.19493,0.961898,0.351862,0.618272
Sobic.001G243000,7.70494,6.17726,8.19346,26.1512,9.65858,8.50372,8.31733,20.8842,30.2656,24.1516,31.3381,21.9295,15.602,18.6547,34.1295,15.1386,14.598,15.3135,11.0636,10.6438,9.9119,7.91296,7.9516,26.834,30.7667,24.8413,9.10199,11.5549,17.2203,0,0,15.5932,4.90099,13.5719,7.34688,16.865,202.916,33.5737,12.0132,10.0386,14.3428,10.241,6.44917,12.7818,3.07813,7.09479,6.78591,13.259,8.09908,8.61694,0,0,0,0.725862,0.497549,4.26818,5.00629,3.06149,3.90477,1.59244,3.75017,3.31968,7.8403,1.52075,1.19884,3.05831,3.28423,9.76018,0.782228,4.51273,4.17287,3.88858,4.67768,2.58526,4.18005,1.66408,2.6271,49.7031,1.14683,5.00841,4.28777,5.38676,5.61494
Sobic.003G293100,0.165299,0.196489,0.087333,0.124679,0,0.486512,0.101595,0.106388,0,0.0781746,0,0.102795,0.0292038,0.156088,2.84607,5.04828,4.63037,4.13178,1.44844,2.89148,1.20741,1.96434,4.59167,1.43945,3.70166,2.29022,3.91169,2.22284,2.35202,0,8.91999,2.03565,1.02519,4.0885,0.966209,2.14497,0.0137678,0.177971,0.0744546,1.27127,1.69892,7.71031,3.16128,14.4416,5.58032,61.4759,7.89081,0.155156,2.52669,0.521616,0,0,2.56473,1.73965,0.366242,1.62292,3.63718,2.0193,0.441961,0.0218437,0.038358,0.579876,0.0245722,2.03247,1.47103,0.0230108,0.0532208,0.00396519,0.0463406,0.209245,0.688617,0.713288,0.170977,3.37645,0.22367,3.63328,3.22367,3.84122,2.28832,1.31308,1.17872,0.704948,0.0171554
